rank,group,model,mae,rmse,smape,mase,comment,decision
1,DL,nbeats,0.35034164093710757,0.4421341146265643,35.70254046604301,0.6140542664660371,"N-BEATS: нейросетевая модель с остаточными блоками, способная разлагать ряд на компоненты и учитывать тренд/сезонность.",основной DL-кандидат
2,DL,neural_mlp,0.3517999922173994,0.45360069808327985,37.93482231290908,0.6165596792646004,MLP-модель NeuralForecast: нелинейный прогноз по историческому окну без явной декомпозиции ряда.,сравнительная модель
3,DL,nhits,0.3809969934121326,0.4735810328457837,39.6782108639289,0.6677658483049486,"NHITS: иерархическая нейросетевая модель, использующая multi-rate обработку для разных частот ряда.",сравнительная модель
