mae,rmse,mape,smape,mase,window,cutoff,model
0.5814486111111111,0.7134874718916208,97.94477884927382,50.258797347937765,0.9094796967777409,1,2010-11-23 21:00:00,naive
0.3559999999999999,0.47872668969457494,27.649747695408973,33.54367234415061,0.5568415950537104,1,2010-11-23 21:00:00,seasonal_naive_24
0.35316666666666663,0.5763408370599492,32.08271511267927,35.050384803739014,0.5524098033327774,1,2010-11-23 21:00:00,seasonal_naive_168
0.6163515873015872,0.709765499013146,81.01766395073327,54.497607833521236,0.964073598277815,1,2010-11-23 21:00:00,window_average_168
0.3151200396825396,0.43924726449463997,23.561111471347687,25.861089034880173,0.49289872339947727,1,2010-11-23 21:00:00,seasonal_window_average
0.5805284620878696,0.7130351061196306,97.99154141962238,50.18849653228828,0.9080404348401315,1,2010-11-23 21:00:00,drift
0.36081939916732214,0.4913370355504095,28.929704919053716,30.670010372942365,0.5643799150523965,1,2010-11-23 21:00:00,manual_ets_additive
0.3652434984244466,0.4831140275000018,35.30140563352242,32.906892829895604,0.5712999220383883,1,2010-11-23 21:00:00,manual_theta_24
0.6276543861874812,0.7192014295086587,86.93086300155754,54.98918330664129,0.9817530043457715,1,2010-11-23 21:00:00,manual_arima
0.38297212438707845,0.4795541730633551,47.06830205342872,35.772754307200415,0.599030361249463,1,2010-11-23 21:00:00,auto_arima
0.36258254804944245,0.48405030628164164,34.9261683644152,32.438538676027754,0.5671377651530624,1,2010-11-23 21:00:00,auto_ets
0.3656199194256151,0.48408286370706194,35.25163581106184,32.92206127702888,0.571888705383058,1,2010-11-23 21:00:00,auto_theta
0.8511097222222223,0.951350258866994,194.8604447941647,79.38056560934491,1.331683636078317,2,2010-11-24 21:00:00,naive
0.49626111111111104,0.6819381673392932,102.24172531434937,51.19223329363645,0.7764719208743344,2,2010-11-24 21:00:00,seasonal_naive_24
0.3567486111111111,0.46496331481136277,60.077728936795,42.03401331143983,0.5581845386161538,2,2010-11-24 21:00:00,seasonal_naive_168
0.666199007936508,0.7473003446432569,133.90996402071264,70.93793195598704,1.042364214715221,2,2010-11-24 21:00:00,window_average_168
0.37531369047619045,0.4663874945845732,71.20021054267758,44.1554943599191,0.5872322768189566,2,2010-11-24 21:00:00,seasonal_window_average
0.8544128117638898,0.9550092832265605,195.79681963856507,79.51608072714879,1.3368517949846157,2,2010-11-24 21:00:00,drift
0.42791228277999666,0.4957788367571894,73.44618951750289,50.15315634386486,0.6695303434758021,2,2010-11-24 21:00:00,manual_ets_additive
0.4569742450213619,0.5158047505512131,84.00597945868071,53.958635256153606,0.7150019654519957,2,2010-11-24 21:00:00,manual_theta_24
0.7002161617908343,0.7855466833140974,144.37098300879558,72.78032809024273,1.0955889470276279,2,2010-11-24 21:00:00,manual_arima
0.5059389366718535,0.5986945295200171,109.89935627257424,58.79133070230753,0.7916142716142737,2,2010-11-24 21:00:00,auto_arima
0.4782641105651095,0.5460963174535536,91.32446669974698,55.166401030253496,0.7483130237311699,2,2010-11-24 21:00:00,auto_ets
0.457100891147733,0.5158902521765241,84.04774330202329,53.9699313681781,0.7152001215412256,2,2010-11-24 21:00:00,auto_theta
0.5245263888888889,0.6729431554813966,108.30648466656186,49.90467257759762,0.8208245002588467,3,2010-11-25 21:00:00,naive
0.4711083333333333,0.5859108372946,43.18866164063479,48.63135599929655,0.7372312822911681,3,2010-11-25 21:00:00,seasonal_naive_24
0.33842222222222224,0.4485151100927164,35.17554562907965,29.172452030194805,0.5295925187300491,3,2010-11-25 21:00:00,seasonal_naive_168
0.5184211474867725,0.6487059965361901,91.36982969433602,50.8579576340598,0.8112704876695708,3,2010-11-25 21:00:00,window_average_168
0.3013440476190476,0.36822046608005315,29.18563937919403,27.386883233690313,0.4715693672092433,3,2010-11-25 21:00:00,seasonal_window_average
0.5244670535131619,0.6730091696861402,108.35910124796875,49.89617890677295,0.820731647103771,3,2010-11-25 21:00:00,drift
0.4688132592185725,0.5685464799679392,41.39885286973535,53.169162615537736,0.7336397507625139,3,2010-11-25 21:00:00,manual_ets_additive
0.38703291603935885,0.4859183475270448,37.54570158631695,36.705605818414185,0.6056627590552488,3,2010-11-25 21:00:00,manual_theta_24
0.5228281867141421,0.6563143349636676,95.83408918382133,50.84612490803953,0.8181670058392088,3,2010-11-25 21:00:00,manual_arima
0.3812452141115867,0.449497464997895,62.86254881860377,41.3044367214583,0.5966056598450943,3,2010-11-25 21:00:00,auto_arima
0.3499357453090886,0.4448502428735576,39.751054912178034,34.80109567130859,0.5476098807430739,3,2010-11-25 21:00:00,auto_ets
0.3859235573976276,0.4846601921098724,37.54278129886124,36.61912231748669,0.603926738195296,3,2010-11-25 21:00:00,auto_theta
