rank,group,model,mae,rmse,mape,smape,mase
1,DL,nbeats,0.35034164093710757,0.4421341146265643,42.63600745804767,35.70254046604301,0.6140542664660371
2,ML,random_forest,0.3420989408447851,0.4300026996651254,48.38239298796041,35.865507149064285,0.5352327603224518
3,ML,hist_gradient_boosting,0.3769145450338922,0.4768640806652373,51.39500529514277,37.204386101108646,0.589710910146734
4,DL,neural_mlp,0.3517999922173994,0.45360069808327985,39.197946661940534,37.93482231290908,0.6165596792646004
5,ML,ridge_regression,0.4055661165389931,0.5286080193352353,53.83892827342047,39.01936870726536,0.6345305729961644
6,DL,nhits,0.3809969934121326,0.4735810328457837,55.272267022789514,39.6782108639289,0.6677658483049486
