model,window,mae,rmse,mape,smape,mase
nbeats,1,0.35354663974708983,0.4627672517686039,30.808834284094495,30.868063632246766,0.6191807355586112
nbeats,2,0.37902016931374866,0.46494507967463716,64.75077126644916,47.46815435878748,0.6644790288224212
nbeats,3,0.3184581137504842,0.3986900124364521,32.34841682359935,28.77140340709479,0.5585030350170791
neural_mlp,1,0.4287116438892152,0.5528128790424297,33.76995637594482,42.61672391650024,0.7508202911948356
neural_mlp,2,0.33704980548090396,0.4251589897498593,56.42228057754768,44.07207894481533,0.5908987055128018
neural_mlp,3,0.28963852728207906,0.38283022545755047,27.401603032329096,27.11566407741166,0.5079600410861639
nhits,1,0.41643276371690957,0.5326541705715382,39.951507543833145,37.194755916343205,0.7293157845691668
nhits,2,0.37883837318552865,0.4627401864474829,71.07289497863617,45.57599657247782,0.6641603130270533
nhits,3,0.3477198433339596,0.4253487415183299,54.792398545899225,36.263880102965686,0.6098214473186253
